ZipCode,City,State,Metro,CountyName,2016_AvgHomeValue
10065,New York,NY,New York-Newark-Jersey City,New York County,8959594
10075,New York,NY,New York-Newark-Jersey City,New York County,8299805
10021,New York,NY,New York-Newark-Jersey City,New York County,7677481
10014,New York,NY,New York-Newark-Jersey City,New York County,6369047
10128,New York,NY,New York-Newark-Jersey City,New York County,6354494
81611,Aspen,CO,Glenwood Springs,Pitkin County,4666409
10013,New York,NY,New York-Newark-Jersey City,New York County,4656021
02108,Boston,MA,Boston-Cambridge-Newton,Suffolk County,4381094
94027,Atherton,CA,San Francisco-Oakland-Hayward,San Mateo County,4277024
11962,Sagaponack,NY,New York-Newark-Jersey City,Suffolk County,4037442
33480,Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,4037076
10028,New York,NY,New York-Newark-Jersey City,New York County,3887964
10024,New York,NY,New York-Newark-Jersey City,New York County,3629868
10007,New York,NY,New York-Newark-Jersey City,New York County,3475266
94028,Portola Valley,CA,San Francisco-Oakland-Hayward,San Mateo County,3324260
10011,New York,NY,New York-Newark-Jersey City,New York County,3224284
94304,Palo Alto,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3127756
94022,Los Altos,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3125019
94301,Palo Alto,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3094683
11201,New York,NY,New York-Newark-Jersey City,Kings County,3065813
81615,Snowmass Village,CO,Glenwood Springs,Pitkin County,3065228
11976,Water Mill,NY,New York-Newark-Jersey City,Suffolk County,2991381
10003,New York,NY,New York-Newark-Jersey City,New York County,2934824
92657,Newport Beach,CA,Los Angeles-Long Beach-Anaheim,Orange County,2811837
81656,Aspen,CO,Glenwood Springs,Pitkin County,2808568
94123,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2774530
90210,Beverly Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2706473
10022,New York,NY,New York-Newark-Jersey City,New York County,2679454
34102,Naples,FL,Naples-Immokalee-Marco Island,Collier County,2671339
94305,Stanford,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2606559
33149,Key Biscayne,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2591478
07620,Alpine,NJ,New York-Newark-Jersey City,Bergen County,2546277
11217,New York,NY,New York-Newark-Jersey City,Kings County,2489704
33109,Fisher Island,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2465542
94024,Los Altos,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2461209
10012,New York,NY,New York-Newark-Jersey City,New York County,2459169
11932,Bridgehampton,NY,New York-Newark-Jersey City,Suffolk County,2429699
11231,New York,NY,New York-Newark-Jersey City,Kings County,2410065
92067,Rancho Santa Fe,CA,San Diego-Carlsbad,San Diego County,2405833
11930,Amagansett,NY,New York-Newark-Jersey City,Suffolk County,2393443
31561,Sea Island,GA,Brunswick,Glynn County,2363239
94115,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2355780
98039,Medina,WA,Seattle-Tacoma-Bellevue,King County,2353703
94010,Burlingame,CA,San Francisco-Oakland-Hayward,San Mateo County,2325775
90402,Santa Monica,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2301748
90272,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2298660
94306,Palo Alto,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2290668
93108,Montecito,CA,Santa Maria-Santa Barbara,Santa Barbara County,2250603
95070,Saratoga,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2227636
92661,Newport Beach,CA,Los Angeles-Long Beach-Anaheim,Orange County,2220863
